school,sex,age,address,famsize,Pstatus,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,Mjob_at_home,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_at_home,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_course,reason_home,reason_other,reason_reputation,guardian_father,guardian_mother,guardian_other
1,1,18,1,0,1,2,2,2,2,1,1,0,0,1,0,0,1,0,4,3,3,4,3,3,17,8,8,8,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0
0,1,18,0,0,0,3,2,1,1,2,1,1,1,0,0,0,1,1,3,3,4,2,4,3,13,7,6,6,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
1,0,18,1,1,0,3,2,2,2,2,1,1,0,0,1,1,0,1,3,3,3,3,2,2,26,8,9,7,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
0,0,18,1,0,0,3,2,2,2,2,0,0,1,0,1,1,0,1,3,3,3,3,2,2,18,8,8,8,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1,0,19,0,0,0,2,1,2,2,2,1,0,0,0,1,1,1,0,3,3,3,3,3,3,19,7,8,7,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
0,1,18,0,0,0,3,2,2,2,1,1,0,1,1,0,0,0,0,3,3,3,3,4,3,22,10,9,8,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
1,0,19,1,0,1,2,2,2,2,1,0,1,0,0,0,0,0,0,3,3,3,2,3,4,18,8,7,7,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
1,0,17,0,0,1,2,3,2,2,0,0,0,0,0,0,0,0,0,3,3,3,1,2,3,10,10,10,10,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0
1,0,18,0,1,1,2,2,2,2,1,0,0,1,0,0,1,0,0,3,3,3,3,3,3,15,8,7,6,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
0,1,17,0,0,1,2,2,1,2,2,0,0,1,1,1,0,1,0,4,4,4,3,4,3,28,7,8,9,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
0,0,17,0,1,0,3,3,2,2,0,0,0,0,1,0,0,0,0,4,3,3,2,2,2,8,10,11,16,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
0,0,18,0,0,0,2,3,2,3,1,1,0,0,1,0,0,1,1,3,3,3,2,3,3,18,11,10,12,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
0,0,17,0,0,1,2,2,1,2,2,0,1,1,1,1,0,1,0,3,3,3,2,3,4,21,8,8,8,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
0,0,18,0,0,1,4,3,1,2,0,1,1,1,0,0,0,1,0,4,3,3,3,4,3,13,10,10,9,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
1,0,18,1,0,1,2,2,2,2,1,1,0,0,1,1,0,1,0,3,3,3,3,3,4,12,8,9,7,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
1,1,18,1,0,1,3,3,2,2,1,1,0,0,0,0,0,0,0,3,3,3,4,3,4,15,8,6,8,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
1,0,18,1,0,0,2,2,2,2,2,0,0,1,0,1,0,0,0,3,3,3,2,3,3,25,9,7,9,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
1,0,18,1,0,1,2,3,2,2,1,0,1,0,1,0,0,0,0,3,3,3,2,2,4,13,8,8,8,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
0,0,17,1,1,0,3,2,2,2,2,1,0,1,1,0,0,1,1,3,3,3,4,3,2,16,10,9,8,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0
1,0,19,0,0,0,3,2,2,2,2,1,0,0,0,1,1,0,1,3,3,2,2,2,3,30,9,9,7,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
0,1,18,0,0,0,2,2,2,2,2,0,0,1,0,0,0,1,0,4,3,4,4,4,2,13,7,8,7,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1,0,17,1,1,1,2,2,3,2,0,1,1,0,0,0,0,0,0,4,3,2,2,2,3,8,9,9,7,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
0,0,18,0,0,1,2,2,2,2,1,1,0,0,0,0,0,1,0,3,3,3,1,2,3,15,9,9,9,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
0,1,17,0,1,0,3,3,2,2,1,1,0,0,0,0,0,0,0,3,3,4,4,4,4,13,8,7,9,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
0,0,18,0,0,0,3,2,2,2,1,1,1,1,0,0,0,1,1,3,3,3,3,3,3,23,9,8,8,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
0,0,19,1,0,1,2,2,2,2,1,1,1,0,0,1,0,0,1,3,3,2,2,2,3,19,11,9,8,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
1,1,18,1,1,0,2,2,2,2,1,1,0,0,0,0,0,0,0,3,3,3,3,3,3,15,7,7,7,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
0,0,19,1,1,0,3,2,2,2,2,1,0,0,1,1,1,0,1,3,3,2,2,2,2,30,9,8,7,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
1,0,18,1,0,0,2,2,2,2,1,0,0,0,1,0,0,1,0,3,3,3,3,3,3,20,8,7,8,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
0,1,17,0,0,0,2,2,2,2,2,0,0,1,0,0,0,1,0,4,3,3,3,3,3,20,8,8,8,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
1,0,17,1,1,0,3,3,2,2,1,1,1,1,0,0,0,0,1,3,3,2,2,1,3,16,7,10,11,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
1,0,19,1,0,0,3,2,2,2,2,0,0,1,0,1,0,0,1,3,3,3,4,3,3,25,8,9,7,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
1,0,18,1,0,1,2,2,2,2,1,1,1,0,0,1,0,1,0,3,3,3,2,3,3,10,8,10,9,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
0,0,19,0,0,0,2,2,2,2,1,1,0,0,0,0,1,0,1,3,3,3,2,2,4,21,8,8,7,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
0,1,17,0,0,0,4,3,2,1,0,1,1,1,0,0,0,0,0,3,3,3,3,3,3,19,8,11,9,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
1,0,19,1,0,1,2,2,2,2,2,1,0,0,1,0,0,1,0,3,3,3,3,3,3,21,7,7,8,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
0,1,19,0,0,0,3,1,2,2,2,1,0,1,0,0,1,1,0,4,3,4,4,4,2,21,8,8,7,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
1,0,18,1,1,1,2,2,2,2,0,1,1,0,0,0,1,1,1,3,3,3,3,3,3,17,8,8,8,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
1,0,18,1,1,0,2,2,2,2,2,1,1,1,1,0,0,1,1,3,3,2,4,2,3,11,8,9,7,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
1,0,18,0,1,1,2,2,2,2,1,1,1,1,1,0,0,1,0,3,3,3,4,3,2,16,10,9,9,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,1,18,1,0,1,2,2,2,2,2,1,0,0,1,0,1,1,1,3,3,3,3,3,4,15,8,7,8,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
1,0,18,1,0,0,3,2,2,2,2,1,0,1,1,0,1,0,0,3,3,3,3,3,2,10,7,7,6,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
0,1,18,0,1,1,4,3,2,2,0,1,1,0,0,0,0,1,0,3,3,4,4,4,3,13,8,9,8,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
0,1,19,0,0,0,2,2,2,2,2,0,0,1,0,0,0,0,0,4,4,4,3,4,3,20,6,8,8,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
0,1,17,0,0,1,3,3,1,2,1,1,0,1,0,1,0,1,0,4,3,3,3,4,4,14,10,7,7,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
0,0,18,0,1,0,2,2,1,3,0,0,0,0,1,0,0,1,0,3,2,3,2,2,3,22,11,13,11,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
0,0,18,0,0,1,2,2,2,3,0,1,0,0,0,0,0,1,0,3,3,3,1,2,2,19,11,11,12,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
1,1,18,1,0,1,2,2,2,2,2,0,0,0,1,1,0,0,0,3,3,3,3,3,4,13,7,7,7,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
0,1,17,0,1,1,3,2,2,2,0,1,0,1,1,0,0,1,0,4,3,3,3,2,3,14,11,12,10,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
0,0,17,0,1,1,2,2,2,2,1,0,1,1,0,1,0,1,0,3,3,3,3,3,3,25,9,10,9,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
0,0,18,1,0,1,2,2,2,2,1,1,1,0,0,0,0,1,1,3,4,4,3,4,4,12,8,6,7,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
1,1,18,0,0,1,2,2,2,2,1,1,0,0,0,0,0,0,0,3,3,3,3,3,3,13,8,8,8,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
1,0,18,1,0,1,2,2,2,2,2,0,0,0,1,1,0,0,0,3,3,3,3,2,2,16,7,9,7,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
0,0,18,0,0,1,2,1,2,2,3,0,0,1,0,1,1,0,0,3,3,3,2,2,4,20,6,8,4,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
0,0,18,1,1,0,3,2,2,2,1,0,0,1,1,1,1,0,0,3,3,3,4,3,1,17,8,8,6,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
1,0,18,0,0,0,3,2,2,2,2,1,0,1,1,0,1,1,1,3,3,4,3,3,3,19,7,7,5,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
0,0,17,0,1,0,3,3,2,2,0,0,0,0,0,0,0,0,0,3,3,3,2,2,2,17,10,12,13,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
1,0,20,0,1,0,3,2,2,2,2,1,0,0,1,0,1,0,0,3,3,3,3,2,2,20,9,9,9,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
0,0,17,0,0,0,3,3,1,2,0,1,0,1,0,0,0,1,0,3,3,3,2,3,2,16,8,11,11,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
1,0,19,0,0,0,3,3,2,2,1,1,0,1,0,0,0,1,1,3,3,3,4,3,4,26,8,7,8,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0
0,0,18,0,0,0,2,2,1,2,1,0,0,0,1,0,0,1,0,4,3,3,1,2,3,16,11,11,12,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
1,1,18,0,0,1,3,3,2,2,1,1,1,0,1,1,0,0,0,3,4,3,3,4,4,19,9,8,8,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
0,0,19,0,0,0,2,2,2,2,2,1,0,1,0,0,1,0,1,3,3,3,2,2,3,25,7,8,7,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
1,0,18,0,0,0,2,2,1,2,2,0,0,1,1,0,0,1,0,3,4,3,2,3,3,18,8,6,7,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0
0,0,18,0,0,0,2,2,2,3,2,0,0,1,0,1,0,0,0,3,3,3,2,2,3,18,8,8,9,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
1,1,17,0,0,1,3,2,2,2,0,1,0,0,1,0,0,0,0,4,3,3,2,2,4,9,9,10,9,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
0,0,18,0,0,0,2,2,1,2,1,1,0,0,0,1,1,1,0,3,3,2,2,2,3,21,7,8,8,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
0,0,19,0,0,0,3,2,2,2,2,0,0,1,0,0,0,0,1,3,3,3,3,3,3,15,8,8,9,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
0,0,18,0,0,0,2,2,1,2,2,0,0,1,0,0,0,0,0,4,3,4,2,3,2,13,9,9,9,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
0,0,18,0,0,0,3,2,1,2,2,1,0,1,0,0,1,0,1,3,4,3,2,2,3,20,8,8,7,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
1,1,18,0,1,1,2,2,2,2,2,1,0,0,0,0,1,1,0,3,4,3,3,4,4,20,7,7,7,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
0,0,18,1,0,0,3,2,2,2,2,0,0,1,1,0,1,1,0,3,3,4,4,3,3,17,7,7,6,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
0,1,17,0,0,0,3,3,1,2,1,0,0,1,1,0,0,1,0,4,4,3,3,4,4,22,12,8,11,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
0,0,17,0,0,0,3,2,2,2,2,0,1,1,0,0,0,1,1,3,4,4,3,3,3,21,7,7,9,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
1,0,18,0,0,1,2,2,2,2,1,1,0,0,0,0,0,0,0,3,3,3,2,2,3,17,9,9,9,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
0,0,18,0,1,0,2,2,1,2,1,1,0,1,0,1,0,1,0,3,3,3,2,2,3,22,9,8,8,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
1,1,18,0,0,1,2,3,2,2,0,1,1,0,0,0,0,0,0,4,3,3,2,2,4,8,9,8,8,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
1,1,18,0,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,3,3,3,3,3,3,21,8,6,7,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
1,0,17,0,0,0,1,2,1,2,2,1,0,0,0,0,0,0,0,3,3,3,2,3,3,12,8,8,8,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
0,0,17,0,1,1,3,3,2,2,1,0,1,1,1,0,0,1,0,4,3,3,2,3,3,10,10,9,10,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
1,0,19,0,0,1,2,2,2,2,2,0,0,0,0,0,1,1,0,3,3,3,3,3,2,24,8,8,7,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
0,0,18,0,1,0,3,3,2,2,1,1,1,1,0,0,0,1,0,3,3,3,2,2,2,16,12,13,14,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
0,1,18,0,0,1,3,3,2,2,0,1,0,0,0,0,0,1,1,3,3,3,3,4,2,15,10,10,10,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
1,0,18,1,0,0,3,2,2,3,1,0,0,1,1,1,1,1,0,3,3,3,4,3,2,23,9,8,8,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
1,0,17,0,0,1,2,2,2,2,0,0,0,0,0,0,0,0,0,3,2,3,2,2,2,6,8,9,10,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
1,0,17,0,1,1,3,2,2,2,1,1,0,1,1,0,0,1,0,3,3,3,3,2,3,16,9,9,10,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
0,0,16,0,0,1,3,3,2,2,0,1,1,1,0,0,0,1,0,3,3,3,3,3,4,16,7,10,9,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
0,0,18,0,0,0,3,2,2,3,1,0,0,1,1,0,0,1,0,3,3,4,4,3,2,24,11,10,9,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
0,0,18,1,0,0,2,2,2,2,2,0,0,0,1,0,0,0,1,3,3,2,3,3,3,22,10,7,11,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
1,1,19,0,1,0,2,2,2,2,1,1,0,0,0,0,0,1,0,4,3,3,3,3,2,17,8,9,10,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
0,1,17,1,0,1,3,2,2,2,1,1,0,1,1,1,0,1,1,3,3,3,2,3,3,18,9,8,9,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
1,0,18,1,0,1,2,3,2,2,1,1,0,1,1,0,0,1,1,3,3,2,3,2,4,20,8,10,10,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
1,0,18,0,0,0,2,2,2,2,1,1,0,0,0,0,1,1,0,3,3,3,3,3,3,25,9,8,8,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
1,0,18,0,0,1,3,3,2,2,1,1,0,0,0,0,0,1,1,3,3,3,3,3,3,19,8,8,9,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
