Hectares ,Agriblock,Variety,Soil Types,Seedrate(in Kg),LP_Mainfield(in Tonnes),Nursery,Nursery area (Cents),LP_nurseryarea(in Tonnes),DAP_20days,Weed28D_thiobencarb,Urea_40Days,Potassh_50Days,Micronutrients_70Days,Pest_60Day(in ml),30DRain( in mm),30DAI(in mm),30_50DRain( in mm),30_50DAI(in mm),51_70DRain(in mm),51_70AI(in mm),71_105DRain(in mm),71_105DAI(in mm),Min temp_D1_D30,Max temp_D1_D30,Min temp_D31_D60,Max temp_D31_D60,Min temp_D61_D90,Max temp_D61_D90,Min temp_D91_D120,Max temp_D91_D120,Inst Wind Speed_D1_D30(in Knots),Inst Wind Speed_D31_D60(in Knots),Inst Wind Speed_D61_D90(in Knots),Inst Wind Speed_D91_D120(in Knots),Wind Direction_D1_D30,Wind Direction_D31_D60,Wind Direction_D61_D90,Wind Direction_D91_D120,Relative Humidity_D1_D30,Relative Humidity_D31_D60,Relative Humidity_D61_D90,Relative Humidity_D91_D120,Trash(in bundles),Paddy yield(in Kg)
3,Sankarapuram,ponmani,alluvial,78,39.1,wet,59,3,119,6,79.82,31.6,47,1719,18.7,21.3,186.3,271.7,166.5,250.5,60.5,64.4,20.0,33,17.8,31,17.4,33.4,16.4,33.2,10,9,9,9,SSE,WNW,SE,NW,70.6,89,84,83,270,17793
6,Kurinjipadi,CO_43,clay,140,69.1,wet,110,6,217,11,151.8,57.93,84,3310,19.6,20.4,187.2,270.8,167.0,250.0,61.0,64.0,19.4,34,18.4,35,16.8,32.3,16.0,30.6,10,4,10,6,NW,S,SE,SSE,65.0,84,85,87,520,35305
3,Sankarapuram,ponmani,clay,82,41.7,dry,68,3,133,7,90.14,35.19,53,2054,18.4,21.6,185.6,272.5,165.7,251.3,60.2,64.9,19.7,33,17.2,31,17.1,32.8,16.3,33.5,8,9,8,9,W,NE,SW,NW,80.9,91,83,83,285,20615
5,Sankarapuram,CO_43,clay,118,60.0,wet,100,5,183,10,135.22,49.02,73,2744,18.6,21.4,185.7,272.3,165.9,251.1,60.3,64.7,19.6,33,17.3,31,16.9,32.7,16.5,33.0,7,9,8,9,ENE,W,NE,S,78.3,90,85,83,438,30036
2,Panruti,delux ponni,clay,60,31.3,dry,46,2,102,5,60.65,25.05,35,1540,18.8,21.2,185.3,272.6,165.4,251.6,60.1,64.9,19.4,35,17.6,31,16.7,32.7,17.7,32.6,4,11,5,11,ENE,NE,NNE,W,82.2,94,85,80,204,14496
2,Kurinjipadi,delux ponni,clay,48,23.1,dry,34,2,70,4,45.81,18.87,26,1089,19.3,20.9,186.1,271.9,166.3,250.9,60.4,64.6,19.1,33,17.5,33,16.4,31.7,15.9,31.7,8,6,8,6,W,NE,SE,S,78.3,91,83,85,162,10878
3,Kallakurichi,CO_43,clay,77,39.5,dry,60,3,117,6,88.71,31.03,46,1923,18.5,21.6,185.6,272.3,165.9,250.9,60.2,64.8,20.1,33,17.7,30,17.6,33.5,16.3,33.6,10,9,9,9,SSE,WNW,SW,NW,76.6,92,83,83,270,19069
3,Cuddalore,CO_43,alluvial,73,35.0,dry,58,3,119,6,65.14,29.77,43,1691,19.3,20.8,186.7,271.4,166.7,250.3,60.7,64.3,18.9,34,16.5,31,16.0,31.5,16.1,32.8,5,9,8,9,SW,W,NNW,WSW,77.5,83,86,84,271,14550
4,Kallakurichi,ponmani,clay,98,45.6,wet,73,4,145,8,101.2,40.7,60,2133,19.0,21.0,185.9,271.9,166.2,250.8,60.4,64.4,19.0,33,16.6,32,16.2,31.9,15.9,32.7,7,8,8,8,W,W,SE,NW,80.3,85,86,85,368,24333
4,Kallakurichi,delux ponni,clay,91,46.1,wet,74,4,141,7,92.67,36.4,54,2163,19.1,20.9,186.2,271.7,166.3,250.7,60.6,64.5,19.2,34,17.0,31,16.5,32.0,16.6,32.7,5,10,7,10,SW,W,NNW,S,77.0,86,86,83,296,22925
3,Panruti,ponmani,alluvial,70,33.0,dry,54,3,108,5,78.44,30.6,43,1544,18.5,21.6,185.6,272.4,165.9,251.1,60.2,64.8,19.9,34,17.3,30,17.3,33.3,16.8,33.3,7,11,7,11,SSE,NE,NNE,W,77.4,90,85,82,263,16253
5,Kurinjipadi,CO_43,clay,125,63.4,wet,99,5,197,10,139.54,51.29,76,3087,19.5,20.5,187.2,270.8,167.0,250.0,61.0,64.0,19.2,34,18.2,35,16.3,32.7,16.1,30.7,9,5,9,7,NW,NE,SE,SSE,65.4,86,87,86,468,31482
5,Chinnasalem,ponmani,clay,115,57.2,dry,93,5,192,9,132.55,49.7,70,2730,18.2,21.7,185.7,272.2,166.1,251.0,60.3,64.7,19.3,32,16.5,31,16.4,33.2,15.6,33.2,9,8,9,10,W,S,NE,S,77.6,86,86,85,423,29498
5,Sankarapuram,CO_43,clay,123,62.8,wet,97,5,201,10,141.61,52.18,74,3104,18.6,21.4,185.5,272.5,165.6,251.4,60.1,64.9,20.0,33,18.0,31,17.6,33.3,16.0,32.7,10,7,10,7,W,WNW,SE,S,79.3,93,82,84,434,31360
3,Sankarapuram,delux ponni,clay,73,33.0,wet,57,3,118,5,77.27,32.13,40,1600,18.9,21.0,186.9,271.1,166.8,250.2,60.8,64.1,20.3,33,18.2,32,17.7,33.8,16.4,32.9,10,9,10,10,NW,S,SW,NW,66.8,89,84,84,247,15690
4,Kallakurichi,delux ponni,alluvial,102,51.5,wet,88,4,178,9,123.1,44.97,66,2513,18.4,21.6,185.3,272.7,165.4,251.6,60.1,65.0,18.9,33,16.6,32,16.0,32.5,16.1,32.1,5,9,6,9,E,NE,NE,W,85.3,93,84,83,345,25338
4,Kallakurichi,CO_43,alluvial,107,54.0,dry,81,4,165,8,114.54,42.88,66,2553,18.4,21.6,185.5,272.5,165.7,251.3,60.1,64.9,19.8,33,17.2,30,17.3,33.2,16.4,33.8,9,10,8,10,SSE,W,SW,NW,80.1,92,84,82,359,25500
